pos,variable,label,col_type,missing,value_labels
1,pin,Personal Identification Number,dbl,0,NULL
2,Txsitn,Special tx situation,dbl+lbl,690,"c(`Pepp not first tx` = 1, `Pepp file closed and reopened` = 2, `2nd episode, other DB` = 3, `IQ low but evaluated` = 4, `other DB misc` = 5, `organic psychosis but eval` = 6, `Substance-induced psychosis` = 7, `Pepp not first tx, prev tx counted` = 11, `Pepp not first tx, prev tx NOT counted, start B` = 12, OTHER = 13)"
3,ageentry,Age entry NP,dbl,2,NULL
4,FIQ,Full scale IQ assessed through WAIS/WASI,dbl,273,NULL
5,holltotp,NA,dbl,259,NULL
6,EDUC_num,NA,dbl,348,NULL
7,gender,Gender,dbl+lbl,2,"c(other = 0, Male = 1, Female = 2)"
8,Vmin,Ethnicity,dbl+lbl,126,"c(`not visible minority` = 0, `visible minority` = 1)"
9,NEET,Employemnt,dbl+lbl,133,"c(NEET = 0, `non-NEET` = 1)"
10,INDPT,Housing,dbl+lbl,105,"c(dependent = 0, independent = 1)"
11,REL,Relationship,dbl+lbl,87,"c(single = 0, `not single` = 1)"
12,date_pr,Date of prodrome to presenting index episode,date,172,NULL
13,dt2stpsy,Date of first psychotic episode (> 1week) - d.m.y.,date,172,NULL
14,onset,the onset date for psychosis for presenting episode,date,144,NULL
15,datecont,Date of continuous antipsychotic (1 mth) - d.m.y.(Meds or CM),date,166,NULL
16,doe,Date of entry to PEPP - d.m.y.,date,2,NULL
17,prevTX_dur,Duration of treatment (case manager or antipsychotics) prior PEPP: doe - datecont (days),dbl,166,NULL
18,prevAP_dur,Duration of antipsychotic treatment prior PEPP: doe-datecont (days),dbl,408,NULL
19,ageonset,Age of onset of psychosis for presenting episode,dbl,156,NULL
20,duponset,DUP onset 1st psychotic episode until start adequate tx,dbl,193,NULL
21,dui,Duration of untreated illness,dbl,207,NULL
22,conv,NA,dbl,173,NULL
23,prev_EP,Previous episode of psychosis,dbl+lbl,172,"c(no = 0, yes = 1)"
24,evercont,Ever took continuous antipsychotic for 30 days?(1=meds 0=CM 2=mood stabilizer),dbl+lbl,683,"c(`no(case manager)` = 0, yes = 1, `mood stabilizer(antipsychotic replacement)` = 2)"
25,ever_ap,EVER took antipsychotic?,dbl+lbl,192,"c(no = 0, yes = 1)"
26,txiscm,Cont tx means CM,dbl+lbl,718,"c(no = 0, yes = 1)"
27,mode,Mode of onset,dbl+lbl,173,"c(acute = 1, insidious = 2)"
28,CAYRconv,CAYR conversion,dbl+lbl,0,"c(yes = 1, `waiting to hear` = 2)"
29,ip_op,Inpatient/Outpatient on DOE,dbl+lbl,80,"c(`outpatient on DOE` = 0, `inpatient on DOE` = 1)"
30,referral,Source of Referral,dbl+lbl,87,"c(`inpatient unit` = 1, `emergency services` = 2, `GP / family physician` = 3, `community psychiatrist` = 4, `community services` = 5, school = 6, `family/self` = 7, other = 8, `student health` = 9, `urgent consult` = 10, `DH OPD` = 12, `Module Eval Liaison (MEL)` = 13, `another psych hospital` = 14, `general hospital psych services` = 15, CAYR = 16, `MIR @ DH` = 17)"
31,transfR,Transfer Category,dbl+lbl,151,"c(GP = 1, `CLSC + any dr / prescriptor` = 2, `CLSC alone` = 3, `other first line clinics` = 4, `DH External Clinics` = 5, `Other Hosp External Clinics` = 6, inpatient = 7, `abandon by client` = 8, moved = 9, deceased = 10, `no transfer` = 11, other = 12)"
32,dx_0,Primary diagnosis on admission,dbl+lbl,143,"c(`alcohol-induced psychosis` = 291, `substance-induced psychosis` = 292.1, `psychosis due to medical condition` = 293.81, `schizophrenia-disorganized` = 295.1, `schizophrenia-catatonic` = 295.2, `schizophrenia-paranoid` = 295.3, schizophreniform = 295.4, `schizophrenia -residual type` = 295.6, schizoaffective = 295.7, `schizophrenia-undifferentiated` = 295.9, `Bipolar I with psychotic features` = 296.04, `major dep with psychotic features` = 296.34, `Bipolar I- manic recent episode` = 296.4, `Bipolar I - manic with psychotic features` = 296.44, 
`Bipolar I - depressed recent epiosode` = 296.5, `Bpiolar I - mixed recent episode` = 296.6, `Bipolar Disorder NOS` = 296.8, `Bipolar II` = 296.89, `delusional disorder` = 297.1, `brief psychotic disorder` = 298.8, `psychosis NOS` = 298.9)"
33,dx_b2,"Primary dx-SSD, Affective and Substance-induced",dbl+lbl,142,"c(SSD = 1, `Affective Psychosis` = 2, `Substance-induced psychosis` = 3, missing = 77)"
34,dx_1year,Dx 1 year follow up,dbl+lbl,300,"c(`alcohol-induced psychosis` = 291, `substance-induced psychosis` = 292.1, `psychosis due to medical condition` = 293.81, `schizophrenia-disorganized` = 295.1, `schizophrenia-catatonic` = 295.2, `schizophrenia-paranoid` = 295.3, schizophreniform = 295.4, `schizophrenia -residual type` = 295.6, schizoaffective = 295.7, `schizophrenia-undifferentiated` = 295.9, `bipolar I with psychotic features` = 296, `major dep with psychotic features` = 296.34, `bipolar I disorder, manic most recent episode` = 296.4, 
`bipolar I disorder, dep most recent episode` = 296.5, `Bipolar Disorder NOS` = 296.8, `Bipolar II` = 296.89, `delusional disorder` = 297.1, `brief psychotic disorder` = 298.8, `psychosis NOS` = 298.9)"
35,dx2, Dx axis II,dbl+lbl,719,"c(`V71.09 - No PD` = 0, `301.82 - Avoidant` = 1, `301.6 - Dependent` = 2, `301.4 - Obsessive - Compulsive` = 3, `Passive - Agressive` = 4, Depressive = 5, `301.0 - Paranoid` = 6, `301.22 - Schizotypal` = 7, `301.22 - Schizoid` = 8, `301.50 - Histronic` = 9, `301.81 - Narcissistic` = 10, `301.83 - Borderline` = 11, `301.7 -  Antisocial` = 12, ` 301.9- Not Otherwise Specified(NOS)` = 13)"
36,secdx1,Secondary diagnosis on admission,dbl+lbl,331,"c(none = 0, `alcohol-induced mood disorder` = 291.8, `substance-induced mood disorder` = 292.84, `major depressive episode-one episode` = 296.2, `major depressive disorder-recurrent` = 296.3, `bipolar disorder nos` = 296.8, `Mood Disorder NOS` = 296.9, `anxiety disorder NOS` = 300, `panic without agoraphobia` = 300.01, `general anxiety disorder` = 300.02, `panic disorder WITH agoraphobia` = 300.21, `agoraphobia withOUT panic` = 300.22, `social phobia` = 300.23, `specific phobia` = 300.29, OCD = 300.3, 
`dysthymic disorder` = 300.4, hypochondriasis = 300.7, `alcohol dependence` = 303.9, `opioid dependence` = 304, `cocaine dependence` = 304.2, `cannabis dependence` = 304.3, `amphetamine dependence` = 304.4, `poly substance dependence` = 304.8, `alcohol abuse` = 305, `nicotine dependence` = 305.1, `cannabis abuse` = 305.2, `hallucinogen abuse` = 305.3, `cocaine abuse` = 305.6, `amphetamine abuse` = 305.7, `unknown substance abuse` = 305.9, `Adj disorder with mix disturb emot conduct` = 309.4, PTSD = 309.81, 
`depressive disorder NOS` = 311, `ADHD inattentive type` = 314, `polysubstance abuse from SCID (expl)` = 999.99)"
