SANS Persistent High (n=185),,,LV1 Persistent High (n=60),,,LV1 Persist High + SANS Persist High (n=33),,,,LV1 Persist High + SANS Remitting (n=27),
Age,,,Age,,,Age,,,,Age,
Mean,22.8,,Mean,23.6,,Mean,23.5,,,Mean,23.8
SD,4.29,,SD,4.13,,SD,4.23,,,SD,4.07
,,,,,,,,,,,
Gender,,,Gender,,,Gender,,,,Gender,
Male,145 (78.4%),,Male,36,,Male,23,,,Male,13
Female,39,,Female,24,,Female,10,,,Female,14
Other,1,,Other,0,,Other,0,,,Other,0
,,,,,,,,,,,
,,,,,,,,,,,
SANS Remitting (n=449),,,LV1 Persistent Low (n=411),,,LV1 Persist Low + SANS Persist High (n=121) ,,,,LV1 Persist Low + SANS Remitting (n=289) ,
Age,,,Age,,,Age,,,,Age,
Mean,24.1,,Mean,23.8,,Mean,22.5,,,Mean,24.3
SD,4.87,,SD,4.81,,SD,4.44,,,SD,4.89
,,,,,,,,,,,
Gender,,,Gender,,,Gender,,,,Gender,
Male,294,,Male,296,,Male,97,,,Male,198
Female,153,,Female,114,,Female,23,,,Female,91
Other,2,,Other,1,,Other,1,,,Other,0
,,,,,,,,,,,
,,,,,,,,,,,
Link to age diestribution histograms,,,LV1 Remitting (n=140),,,LV1 Remitting + SANS Persist High (n=25) ,,,,LV1 Remitting + SANS Remitting (n=115) ,
,,,Age,,,Age,,,,Age,
,,,Mean,24.0,,Mean,23.3,,,Mean,24.1
,,,SD,4.72,,SD,3.32,,,SD,4.97
,,,,,,,,,,,
,,,Gender,,,Gender,,,,Gender,
,,,Male,91,,Male,21,,,Male,70
,,,Female,47,,Female,4,,,Female,43
,,,Other,2,,Other,0,,,Other,2
