,cdss_total_baseline,cdss_total_1mo,cdss_total_2mo,cdss_total_3mo,cdss_total_6mo,cdss_total_9mo,cdss_total_12mo,cdss_total_18mo,cdss_total_24mo,cdss_1_baseline,cdss_2_baseline,cdss_3_baseline,cdss_4_baseline,cdss_5_baseline,cdss_6_baseline,cdss_7_baseline,cdss_8_baseline,cdss_9_baseline,cdss_1_1mo,cdss_2_1mo,cdss_3_1mo,cdss_4_1mo,cdss_5_1mo,cdss_6_1mo,cdss_7_1mo,cdss_8_1mo,cdss_9_1mo,cdss_1_2mo,cdss_2_2mo,cdss_3_2mo,cdss_4_2mo,cdss_5_2mo,cdss_6_2mo,cdss_7_2mo,cdss_8_2mo,cdss_9_2mo,cdss_1_3mo,cdss_2_3mo,cdss_3_3mo,cdss_4_3mo,cdss_5_3mo,cdss_6_3mo,cdss_7_3mo,cdss_8_3mo,cdss_9_3mo,cdss_1_6mo,cdss_2_6mo,cdss_3_6mo,cdss_4_6mo,cdss_5_6mo,cdss_6_6mo,cdss_7_6mo,cdss_8_6mo,cdss_9_6mo,cdss_1_9mo,cdss_2_9mo,cdss_3_9mo,cdss_4_9mo,cdss_5_9mo,cdss_6_9mo,cdss_7_9mo,cdss_8_9mo,cdss_9_9mo,cdss_1_12mo,cdss_2_12mo,cdss_3_12mo,cdss_4_12mo,cdss_5_12mo,cdss_6_12mo,cdss_7_12mo,cdss_8_12mo,cdss_9_12mo,cdss_1_18mo,cdss_2_18mo,cdss_3_18mo,cdss_4_18mo,cdss_5_18mo,cdss_6_18mo,cdss_7_18mo,cdss_8_18mo,cdss_9_18mo,cdss_1_24mo,cdss_2_24mo,cdss_3_24mo,cdss_4_24mo,cdss_5_24mo,cdss_6_24mo,cdss_7_24mo,cdss_8_24mo,cdss_9_24mo
mean,5.076569678,2.988372093,2.644646925,2.461682243,2.189516129,2.104513064,1.742528736,1.562347188,1.205438066,1.194486983,0.6493108729,0.5543644717,0.2909647779,0.4915773354,0.4471669219,0.3292496172,0.6554364472,0.4640122511,0.8017241379,0.4132947977,0.338150289,0.1239193084,0.3150289017,0.2919075145,0.1502890173,0.2413793103,0.3189655172,0.7178329571,0.358276644,0.3408577878,0.08803611738,0.2483069977,0.283446712,0.1176470588,0.2009029345,0.3009049774,0.6439114391,0.3585951941,0.325323475,0.09040590406,0.1977818854,0.2444444444,0.07763401109,0.2250922509,0.3104089219,0.5705765408,0.3007968127,0.292,0.09163346614,0.1673306773,0.2195608782,0.07370517928,0.1996007984,0.278,0.5390070922,0.2813238771,0.3026004728,0.08983451537,0.158392435,0.1966824645,0.09952606635,0.1725768322,0.2677725118,0.4669703872,0.2442922374,0.2397260274,0.07061503417,0.15261959,0.1757990868,0.06621004566,0.1503416856,0.1784897025,0.403892944,0.201946472,0.1975609756,0.05609756098,0.1216545012,0.1800486618,0.07317073171,0.1605839416,0.1849148418,0.3723723724,0.1801801802,0.1471471471,0.03303303303,0.07207207207,0.1321321321,0.05705705706,0.0990990991,0.1178247734
sd,4.871378081,3.66368734,3.418511559,3.321410649,3.410674119,3.332166972,3.062770055,2.817426577,2.4333729,0.9769585905,0.8586372691,0.8768670364,0.6700387913,0.8318835116,0.6356331788,0.7223548449,0.8926018361,0.7310009608,0.8373812712,0.7017552402,0.684055291,0.4356626397,0.6247593153,0.5316568062,0.4820997885,0.5623236526,0.6204832819,0.8068276513,0.6526036843,0.6513655583,0.3210791737,0.5311266737,0.534213868,0.4093087834,0.501399938,0.5812248346,0.8023474199,0.6560721115,0.6276692164,0.329032949,0.5125053537,0.4829818738,0.3241495184,0.513295945,0.5935119571,0.7694937188,0.6118909555,0.622503833,0.373217281,0.4973868302,0.4813487372,0.3410471967,0.4940443708,0.5633388868,0.7072850149,0.6186716749,0.6481236854,0.3972246383,0.4779193324,0.4431461571,0.4013631914,0.4926038064,0.5781897094,0.7203358403,0.5677462179,0.5696937375,0.3338270337,0.4502015973,0.4155541923,0.3550225077,0.4433101122,0.4595515445,0.6569585711,0.5185308581,0.4768415876,0.2695180707,0.3948364124,0.4267757709,0.3489589058,0.466960749,0.4578488195,0.6396201476,0.4630607613,0.4518695761,0.2099672711,0.3019528322,0.3809712785,0.2683950285,0.4022891191,0.3584682643
mean + 0.5*sd,7.512258719,4.820215763,4.353902704,4.122387568,3.894853189,3.77059655,3.273913763,2.971060477,2.422124517,1.682966278,1.078629507,0.9927979899,0.6259841736,0.9075190912,0.7649835113,0.6904270396,1.101737365,0.8295127316,1.220414774,0.7641724178,0.6801779345,0.3417506282,0.6274085594,0.5577359175,0.3913389116,0.5225411367,0.6292071582,1.121246783,0.6845784861,0.666540567,0.2485757042,0.5138703346,0.550553646,0.3223014505,0.4516029035,0.5915173947,1.045085149,0.6866312498,0.6391580832,0.2549223786,0.4540345622,0.4859353813,0.2397087703,0.4817402234,0.6071649005,0.9553234002,0.6067422905,0.6032519165,0.2782421066,0.4160240924,0.4602352468,0.2442287776,0.4466229838,0.5596694434,0.8926495997,0.5906597145,0.6266623155,0.2884468345,0.3973521012,0.418255543,0.3002076621,0.4188787354,0.5568673665,0.8271383074,0.5281653464,0.5245728961,0.237528551,0.3777203886,0.3835761829,0.2437212995,0.3719967418,0.4082654748,0.7323722296,0.4612119011,0.4359817694,0.1908565963,0.3190727074,0.3934365472,0.2476501846,0.3940643161,0.4138392516,0.6921824462,0.4117105608,0.3730819352,0.1380166686,0.2230484882,0.3226177714,0.1912545713,0.3002436586,0.2970589055
mean - 0.5*sd,2.640880638,1.156528423,0.9353911453,0.8009769184,0.4841790694,0.4384295783,0.211143708,0.1536338998,-0.01124838361,0.7060076879,0.2199922383,0.1159309535,-0.04405461772,0.07563557956,0.1293503325,-0.0319278053,0.2091355291,0.09851177073,0.3830335023,0.06241717757,-0.003877356472,-0.09391201151,0.002649244081,0.02607911137,-0.09076087691,-0.03978251596,0.008723876286,0.3144191315,0.03197480185,0.01517500864,-0.07250346948,-0.01725633912,0.01633977799,-0.08700733286,-0.04979703445,0.01029256005,0.2427377292,0.03055913835,0.01148886686,-0.07411057043,-0.05847079143,0.002953507547,-0.08444074809,-0.03155572158,0.01365294336,0.1858296814,-0.005148665019,-0.01925191648,-0.09497517437,-0.08136273783,-0.02111349035,-0.09681841905,-0.047421387,-0.00366944341,0.1853645847,-0.02801196037,-0.02146136988,-0.1087778038,-0.08056723121,-0.02489061407,-0.1011555294,-0.07372507105,-0.02132234285,0.1068024671,-0.03958087151,-0.04512084134,-0.0962984827,-0.07248120869,-0.03197800941,-0.1113012082,-0.07131337046,-0.05128606972,0.0754136585,-0.05731895702,-0.04085981821,-0.0786614744,-0.07576370497,-0.03333922363,-0.1013087212,-0.07289643289,-0.0440095679,0.05256229857,-0.05135020046,-0.07878764091,-0.07195060251,-0.07890434402,-0.0583535071,-0.07714045718,-0.1020454604,-0.06140935871
mean + 1.96*sd,14.62447072,10.16919928,9.344929581,8.971647115,8.874437403,8.635560328,7.745558044,7.084503279,5.974848951,3.109325821,2.33223992,2.273023863,1.604240809,2.122069018,1.693007952,1.745065113,2.404936046,1.896774134,2.44299143,1.788735069,1.678898659,0.9778180823,1.53955716,1.333954855,1.095204603,1.343533669,1.53511275,2.299215154,1.637379865,1.617534282,0.7173512979,1.289315278,1.330505893,0.9198922742,1.183646813,1.440105653,2.216512382,1.644496533,1.555555139,0.7353104841,1.202292379,1.191088917,0.7129670671,1.231152303,1.473692358,2.07878423,1.500103086,1.512107513,0.8231393369,1.142208865,1.163004403,0.7421576847,1.167927765,1.382144218,1.925285721,1.49392036,1.572922896,0.8683948065,1.095114326,1.065248932,0.8861979215,1.138080293,1.401024342,1.878828634,1.357074825,1.356325753,0.7249160203,1.035014721,0.9902853037,0.7620541607,1.019229506,1.07921073,1.691531743,1.218266954,1.132170487,0.5843529796,0.8955338695,1.016529173,0.7571301872,1.07582701,1.082298528,1.626027862,1.087779272,1.032811516,0.4445688844,0.6638996231,0.8788358379,0.5831113129,0.8875857725,0.8204225713
mean - 1.96*sd,-4.471331361,-4.192455093,-4.055635731,-4.048282629,-4.495405145,-4.4265342,-4.260500573,-3.959808903,-3.563972818,-0.7203518543,-1.033618175,-1.16429492,-1.022311253,-1.138914347,-0.7986741086,-1.086565879,-1.094063152,-0.9687496321,-0.8395431537,-0.9621454732,-1.002598081,-0.7299794655,-0.9094993563,-0.7501398256,-0.7946265681,-0.8607750488,-0.8971817153,-0.8635492394,-0.9208265772,-0.9358187065,-0.5412790631,-0.7927012828,-0.7636124694,-0.6845981566,-0.7818409439,-0.8382956985,-0.9286895038,-0.9273061444,-0.904908189,-0.554498676,-0.8067286078,-0.7022000282,-0.5576990449,-0.7809678013,-0.8528745141,-0.9376311481,-0.8985094601,-0.9281075126,-0.6398724046,-0.80754751,-0.7238826466,-0.5947473262,-0.7687261684,-0.8261442182,-0.8472715371,-0.9312726057,-0.9677219506,-0.6887257758,-0.7783294565,-0.6718840034,-0.6871457888,-0.7929266284,-0.8654793186,-0.9448878598,-0.8684903497,-0.876873698,-0.5836859519,-0.7297755408,-0.6386871302,-0.6296340694,-0.7185461343,-0.7222313246,-0.8837458553,-0.8143740098,-0.7370485361,-0.4721578577,-0.652224867,-0.6564318491,-0.6107887237,-0.7546591264,-0.7124688444,-0.8812831169,-0.7274189119,-0.7385172221,-0.3785028183,-0.519755479,-0.6145715737,-0.4689971988,-0.6893875743,-0.5847730245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sans_total_baseline,sans_total_1mo,sans_total_2mo,sans_total_3mo,sans_total_6mo,sans_total_9mo,sans_total_12mo,sans_total_18mo,sans_total_24mo,sans_aff_flat_baseline,sans_aff_flat_1mo,sans_aff_flat_2mo,sans_aff_flat_3mo,sans_aff_flat_6mo,sans_aff_flat_9mo,sans_aff_flat_12mo,sans_aff_flat_18mo,sans_aff_flat_24mo,sans_alogia_baseline,sans_alogia_1mo,sans_alogia_2mo,sans_alogia_3mo,sans_alogia_6mo,sans_alogia_9mo,sans_alogia_12mo,sans_alogia_18mo,sans_alogia_24mo,sans_avol_baseline,sans_avol_1mo,sans_avol_2mo,sans_avol_3mo,sans_avol_6mo,sans_avol_9mo,sans_avol_12mo,sans_avol_18mo,sans_avol_24mo,sans_anehdonia_baseline,sans_anehdonia_1mo,sans_anehdonia_2mo,sans_anehdonia_3mo,sans_anehdonia_6mo,sans_anehdonia_9mo,sans_anehdonia_12mo,sans_anehdonia_18mo,sans_anehdonia_24mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,9.908011869,8.773480663,7.945533769,7.887700535,7.203488372,6.839816934,6.699346405,6.316901408,5.8975,8.143283582,7.375690608,6.637554585,6.190730838,5.722543353,5.354545455,5.135667396,4.873239437,4.441102757,3.372578241,2.391666667,2.061810155,2.120996441,2.071290944,1.794050343,1.923413567,1.799054374,1.59,6.615727003,5.782369146,5.189130435,5.007142857,4.535645472,4.186363636,4.291938998,4.129107981,3.904761905,7.942857143,7.43767313,6.789010989,6.580645161,6.015594542,5.716553288,5.566739606,5.340375587,5.020050125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
